"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
2.143,3.11,0.44205,15,331.67,0,0.165,"1632737"
2.6,3.78,0.22564,23,329.67,0,0.253,"1632738"
1.167,1.58,0.24624,22,328,0,0.242,"1632739"
1.167,1.7,0.15049,27,327,0,0.297,"1632740"
3.2,4.81,0.03636,39,329.67,0,0.429,"1632741"
-0.818,-1.5,0.69999,-8,330,0,-0.088,"1632742"
-0.2,-0.37,0.54113,-12,324,0,-0.132,"1632743"
0,0,1,1,327,0,0.011,"1632744"
0,0,0.78162,-6,325.33,0,-0.066,"1632745"
-0.8,-1.23,0.50824,-13,329,0,-0.143,"1632746"
0,0,0.95597,-2,328,0,-0.022,"1632747"
0,0,0.91193,3,327,0,0.033,"1632748"
-0.2,-0.26,0.7827,-6,328.67,0,-0.066,"1632749"
-2.667,-3.7,0.47467,-14,330.67,0,-0.154,"1632750"
-2.667,-2.69,0.61923,-10,328,0,-0.11,"1632754"
0,0,0.73423,7,312.33,0,0.077,"1632755"
-2.667,-2.99,0.37332,-17,323,0,-0.187,"1632756"
-3.429,-5.42,0.30004,-19,301.67,0,-0.209,"1632775"
0,0,0.91229,3,329.67,0,0.033,"1635130"
-0.8,-1.72,0.58026,-11,327,0,-0.121,"1635131"
-1,-2.09,0.5818,-11,329.67,0,-0.121,"1635132"
-1,-2.09,0.5818,-11,329.67,0,-0.121,"1635133"
0,0,0.91229,-3,329.67,0,-0.033,"1635134"
-1.333,-2.55,0.74106,-7,329.67,0,-0.077,"1635135"
2.462,4.09,0.16919,26,330.67,0,0.286,"1635136"
0.5,0.77,0.65622,9,323,0,0.099,"1635137"
2.667,3.8,0.37772,17,329,0,0.187,"1635138"
1.6,2.63,0.29413,20,328,0,0.22,"1635139"
0.889,1.49,0.5436,12,328,0,0.132,"1635140"
0,0,0.82494,-5,327,0,-0.055,"1635141"
1.6,2.91,0.34593,18,325.33,0,0.198,"1635142"
0,0,1,0,330.67,0,0,"1635143"
0,0,0.9122,-3,329,0,-0.033,"1635144"
-0.667,-1.3,0.82615,-5,331.67,0,-0.055,"1635145"
0,0,0.9557,-2,324,0,-0.022,"1635146"
0,0,0.86843,4,328,0,0.044,"1635147"
0,0,0.9557,-2,324,0,-0.022,"1635148"
0,0,0.91193,3,327,0,0.033,"1635149"
0,0,0.95614,2,330.67,0,0.022,"1635150"
-4,-4.62,0.34985,-18,330.67,0,-0.198,"1635151"
0,0,1,-1,329.67,0,-0.011,"1635152"
-1.5,-2.05,0.6595,-9,329.67,0,-0.099,"1635154"
0,0,0.91139,3,323,0,0.033,"1635155"
0,0,0.86709,4,321.33,0,0.044,"1635156"
0,0,0.82206,-5,316.33,0,-0.055,"1635157"
0,0,0.69617,8,321.33,0,0.088,"1635158"
0,0,0.90833,-3,301.67,0,-0.033,"1635169"
0,0,0.7309,-7,304.33,0,-0.077,"1635170"
-3.692,-5.27,0.34494,-18,324,0,-0.198,"1635174"
-5.333,-6.05,0.17721,-25,316.33,0,-0.275,"1635175"
0.667,0.84,0.65689,9,324.33,0,0.099,"1635176"
1.778,2.2,0.44021,15,329,0,0.165,"1635177"
0,0,0.61265,-10,316,0,-0.11,"1635178"
-1.143,-1.71,0.50032,-13,317,0,-0.143,"1635180"
0,0,0.91139,3,323,0,0.033,"1635181"
0,0,0.69251,-8,313.33,0,-0.088,"1635184"
0,0,0.77759,-6,313.33,0,-0.066,"1635185"
0,0,0.09699,-28,264.67,0,-0.308,"1635208"
0,0,0.09699,-28,264.67,0,-0.308,"1635209"
-1.857,-3.85,0.07612,-30,267.33,0,-0.33,"1635210"
-1.857,-3.85,0.07612,-30,267.33,0,-0.33,"1635211"
-1.857,-3.85,0.07612,-30,267.33,0,-0.33,"1635212"
0,0,0.40967,-15,288.33,0,-0.165,"1635213"
0,0,1,1,327,0,0.011,"1637531"
0,0,0.91229,-3,329.67,0,-0.033,"1637532"
0,0,0.91229,-3,329.67,0,-0.033,"1637533"
0,0,0.91229,-3,329.67,0,-0.033,"1637534"
0,0,0.91193,-3,327,0,-0.033,"1637535"
0,0,0.91193,-3,327,0,-0.033,"1637536"
-0.8,-1.58,0.78249,-6,328,0,-0.066,"1637537"
0,0,0.91139,-3,323,0,-0.033,"1637538"
1,1.71,0.3479,18,328,0,0.198,"1637539"
3,4.35,0.22517,23,329,0,0.253,"1637540"
1.778,3.01,0.32151,19,329.67,0,0.209,"1637541"
0,0,1,1,323,0,0.011,"1637542"
0.5,0.93,0.61562,10,321.33,0,0.11,"1637543"
0.889,1.68,0.6582,9,327,0,0.099,"1637544"
0,0,0.95597,-2,328,0,-0.022,"1637545"
0,0,0.73849,-7,323,0,-0.077,"1637546"
-0.818,-1.78,0.5436,-12,328,0,-0.132,"1637547"
0,0,1,1,327,0,0.011,"1637548"
2.4,4.27,0.34985,18,330.67,0,0.198,"1637549"
0,0,0.95614,-2,330.67,0,-0.022,"1637550"
