"nie_malla_modi_id","sen_slope_tempm08","sen_slope_per_tempm08","p_value_tempm08","tau_tempm08"
1676064,0.022,0.1,0.82667,0.055
1676065,0.025,0.11,0.78398,0.066
1676066,0.035,0.15,0.74256,0.077
1676067,0.03,0.13,0.74256,0.077
1676068,0.03,0.13,0.74256,0.077
1676069,0.03,0.13,0.66142,0.099
1676070,0.025,0.1,0.66142,0.099
1676071,0.023,0.1,0.66142,0.099
1676072,0.022,0.09,0.74256,0.077
1676073,0.023,0.09,0.6217,0.11
1676074,0.022,0.09,0.66142,0.099
1676075,0.02,0.08,0.66142,0.099
1676076,0.022,0.09,0.66142,0.099
1676077,0.02,0.08,0.66142,0.099
1676078,0.02,0.08,0.66142,0.099
1676079,0.025,0.1,0.66142,0.099
1676080,0.032,0.13,0.66142,0.099
1676081,0.03,0.12,0.66142,0.099
1676082,0.027,0.11,0.66142,0.099
