"nie_malla_modi_id","sen_slope_tempsu","sen_slope_per_tempsu","p_value_tempsu","tau_tempsu"
1673652,-0.054,-0.23,0.38107,-0.187
1673653,-0.053,-0.23,0.44342,-0.165
1673654,-0.04,-0.18,0.41085,-0.176
1673655,-0.057,-0.25,0.38107,-0.187
1673656,-0.05,-0.23,0.35131,-0.198
1673657,-0.053,-0.24,0.37964,-0.187
1673658,-0.05,-0.23,0.32442,-0.209
1673659,-0.053,-0.24,0.35131,-0.198
1673660,-0.05,-0.22,0.38107,-0.187
1673661,-0.06,-0.27,0.38107,-0.187
1673662,-0.061,-0.27,0.38107,-0.187
1673663,-0.059,-0.25,0.44342,-0.165
1673664,-0.059,-0.25,0.44342,-0.165
1673665,-0.058,-0.25,0.476,-0.154
1673666,-0.062,-0.26,0.51122,-0.143
1673667,-0.065,-0.27,0.51122,-0.143
1673668,-0.062,-0.26,0.51122,-0.143
1673669,-0.07,-0.29,0.51122,-0.143
1673670,-0.078,-0.32,0.51122,-0.143
1673671,-0.077,-0.31,0.41085,-0.176
1673672,-0.078,-0.32,0.476,-0.154
1673673,-0.079,-0.33,0.51122,-0.143
1673674,-0.078,-0.33,0.51122,-0.143
1673675,-0.08,-0.33,0.476,-0.154
1673676,-0.079,-0.32,0.44342,-0.165
1673677,-0.08,-0.32,0.38107,-0.187
1673678,-0.078,-0.31,0.38107,-0.187
1673679,-0.079,-0.3,0.32442,-0.209
1673680,-0.077,-0.3,0.38107,-0.187
1673681,-0.08,-0.31,0.38107,-0.187
1673682,-0.076,-0.29,0.32442,-0.209
1673683,-0.076,-0.29,0.38107,-0.187
1673684,-0.076,-0.28,0.35131,-0.198
1673685,-0.082,-0.31,0.41085,-0.176
1675910,-0.009,-0.04,0.91281,-0.033
1675911,-0.012,-0.05,0.82667,-0.055
